сторон у многоугольника | результат
4 | 0.8300924450111571
5 | 0.6474355409112980
6 | 0.5378152593913080
7 | 0.4540376571417084
8 | 0.3964029274661937
9 | 0.3528844405164578
10 | 0.3172890556372385
11 | 0.2890076228853577
12 | 0.2633364911478437
13 | 0.2433045391416981
14 | 0.2251205876341396
15 | 0.2107634614249945
16 | 0.1968397443417929
17 | 0.1858580944993949
18 | 0.1742693781096657
19 | 0.1648344643453872
20 | 0.1572371621364851
100 | 0.0313860934506380
1000 | 0.0031512690735346
10000 | 0.0003139148522948
100000 | 0.0000315270618387
1000000 | 0.0000031376384383
10000000 | 0.0000003152397571
100000000 | 0.0000000313200424
1000000000 | 0.0000000031529274
